,striker,strike_rate,runs_50_to_99,runs_100_plus,boundary_percentage,normal_runs,total_runs,balls_faced,player_dismissed,dismissal_count,batting_avg
150,DJ Malan,100.0,0,0,7.69,14.0,26,26,DJ Malan,1.0,26.0
151,DJ Mitchell,71.74,0,0,2.17,27.0,33,46,DJ Mitchell,2.0,16.5
152,DJ Muthuswami,33.33,0,0,0.0,1.0,1,3,DJ Muthuswami,1.0,1.0
153,DJ Thornely,72.22,0,0,7.41,19.0,39,54,DJ Thornely,3.0,13.0
154,DJ Willey,82.81,0,0,10.94,21.0,53,64,DJ Willey,2.0,26.5
155,DJG Sammy,117.53,1,0,13.15,110.0,295,251,DJG Sammy,15.0,19.67
156,DJM Short,112.75,0,0,15.69,38.0,115,102,DJM Short,7.0,16.43
157,DL Chahar,131.15,0,0,13.11,29.0,80,61,DL Chahar,7.0,11.43
158,DL Vettori,102.54,0,0,11.02,59.0,121,118,DL Vettori,8.0,15.12
159,DM Bravo,120.0,0,0,20.0,2.0,6,5,,0.0,6.0
160,DNT Zoysa,122.22,0,0,11.11,5.0,11,9,DNT Zoysa,1.0,11.0
161,DP Conway,138.12,9,0,19.43,302.0,924,669,DP Conway,19.0,48.63
162,DP Nannes,30.77,0,0,0.0,4.0,4,13,DP Nannes,1.0,4.0
163,DP Vijaykumar,100.0,0,0,0.0,1.0,1,1,,0.0,1.0
164,DPMD Jayawardene,118.79,10,1,15.77,663.0,1808,1522,DPMD Jayawardene,64.0,28.25
165,DR Martyn,73.08,0,0,3.85,15.0,19,26,DR Martyn,1.0,19.0
166,DR Sams,91.67,0,0,8.33,18.0,44,48,DR Sams,9.0,4.89
167,DR Shorey,65.0,0,0,5.0,7.0,13,20,DR Shorey,2.0,6.5
168,DR Smith,132.28,17,0,20.08,609.0,2385,1803,DR Smith,84.0,28.39
169,DS Kulkarni,92.04,0,0,7.96,54.0,104,113,DS Kulkarni,9.0,11.56
170,DS Lehmann,94.74,0,0,15.79,6.0,18,19,DS Lehmann,2.0,9.0
171,DT Christian,112.75,0,0,10.29,221.0,460,408,DT Christian,31.0,14.84
172,DT Patil,100.0,0,0,7.69,7.0,13,13,DT Patil,2.0,6.5
173,DW Steyn,102.45,0,0,10.43,74.0,167,163,DW Steyn,22.0,7.59
174,Dhruv Jurel,163.44,0,0,21.51,47.0,152,93,Dhruv Jurel,7.0,21.71
175,E Lewis,131.06,4,0,19.64,167.0,654,499,E Lewis,24.0,27.25
176,EJG Morgan,119.05,5,0,14.9,493.0,1406,1181,EJG Morgan,62.0,22.68
177,ER Dwivedi,160.0,0,0,26.67,4.0,24,15,ER Dwivedi,2.0,12.0
178,F Behardien,107.69,0,0,15.38,6.0,14,13,F Behardien,2.0,7.0
179,F du Plessis,130.83,33,0,16.46,1522.0,4133,3159,F du Plessis,112.0,36.9
180,FA Allen,73.68,0,0,5.26,9.0,14,19,FA Allen,2.0,7.0
