,striker,strike_rate,runs_50_to_99,runs_100_plus,boundary_percentage,normal_runs,total_runs,balls_faced,player_dismissed,dismissal_count,batting_avg
611,Virat Singh,57.69,0,0,3.85,11.0,15,26,Virat Singh,2.0,7.5
612,Vishnu Vinod,96.55,0,0,10.34,25.0,56,58,Vishnu Vinod,6.0,9.33
613,Vivrant Sharma,140.82,1,0,22.45,20.0,69,49,Vivrant Sharma,1.0,69.0
614,W Jaffer,100.78,1,0,13.18,48.0,130,129,W Jaffer,8.0,16.25
615,WA Mota,73.68,0,0,2.63,44.0,56,76,WA Mota,6.0,9.33
616,WD Parnell,75.58,0,0,5.81,38.0,65,86,WD Parnell,10.0,6.5
617,WP Saha,124.47,13,1,16.1,1007.0,2798,2248,WP Saha,112.0,24.98
618,WPUJC Vaas,110.96,0,0,6.85,44.0,81,73,WPUJC Vaas,8.0,10.12
619,Washington Sundar,111.18,0,0,12.06,165.0,378,340,Washington Sundar,27.0,14.0
620,X Thalaivan Sargunam,58.82,0,0,0.0,8.0,10,17,X Thalaivan Sargunam,1.0,10.0
621,Y Gnaneswara Rao,105.56,0,0,16.67,6.0,19,18,Y Gnaneswara Rao,1.0,19.0
622,Y Nagar,105.17,0,0,10.7,129.0,285,271,Y Nagar,14.0,20.36
623,Y Prithvi Raj,0.0,0,0,0.0,0.0,0,1,,0.0,0.0
624,Y Venugopal Rao,113.87,3,0,13.18,396.0,985,865,Y Venugopal Rao,44.0,22.39
625,YA Abdulla,0.0,0,0,0.0,0.0,0,1,,0.0,0.0
626,YBK Jaiswal,145.23,8,1,23.92,270.0,1172,807,YBK Jaiswal,36.0,32.56
627,YK Pathan,138.05,14,1,18.17,1038.0,3222,2334,YK Pathan,110.0,29.29
628,YS Chahal,41.57,0,0,0.0,32.0,37,89,YS Chahal,7.0,5.29
629,YV Dhull,69.57,0,0,4.35,12.0,16,23,YV Dhull,3.0,5.33
630,YV Takawale,104.92,0,0,15.85,54.0,192,183,YV Takawale,8.0,24.0
631,Yash Dayal,0.0,0,0,0.0,0.0,0,1,Yash Dayal,1.0,0.0
632,Yashpal Singh,70.15,0,0,7.46,23.0,47,67,Yashpal Singh,4.0,11.75
633,Younis Khan,42.86,0,0,0.0,3.0,3,7,Younis Khan,1.0,3.0
634,Yudhvir Singh,50.0,0,0,0.0,1.0,1,2,Yudhvir Singh,2.0,0.5
635,Yuvraj Singh,124.78,13,0,16.63,863.0,2754,2207,Yuvraj Singh,111.0,24.81
636,Z Khan,82.98,0,0,9.22,54.0,117,141,Z Khan,14.0,8.36
