batsman,match_id,batting_team,bowling_team,runs_scored,year
DJ Hussey,335997,Kolkata Knight Riders,Mumbai Indians,17,2008
LR Shukla,335997,Kolkata Knight Riders,Mumbai Indians,40,2008
M Kartik,335997,Kolkata Knight Riders,Mumbai Indians,10,2008
Mohammad Hafeez,335997,Kolkata Knight Riders,Mumbai Indians,2,2008
RT Ponting,335997,Kolkata Knight Riders,Mumbai Indians,19,2008
RV Uthappa,335997,Mumbai Indians,Kolkata Knight Riders,37,2008
SC Ganguly,335997,Kolkata Knight Riders,Mumbai Indians,4,2008
ST Jayasuriya,335997,Mumbai Indians,Kolkata Knight Riders,18,2008
G Gambhir,335998,Delhi Daredevils,Royal Challengers Bangalore,86,2008
JH Kallis,335998,Royal Challengers Bangalore,Delhi Daredevils,54,2008
KD Karthik,335998,Delhi Daredevils,Royal Challengers Bangalore,2,2008
LRPL Taylor,335998,Royal Challengers Bangalore,Delhi Daredevils,29,2008
MK Tiwary,335998,Delhi Daredevils,Royal Challengers Bangalore,11,2008
MV Boucher,335998,Royal Challengers Bangalore,Delhi Daredevils,31,2008
P Kumar,335998,Royal Challengers Bangalore,Delhi Daredevils,6,2008
R Bhatia,335998,Delhi Daredevils,Royal Challengers Bangalore,8,2008
R Dravid,335998,Royal Challengers Bangalore,Delhi Daredevils,38,2008
S Dhawan,335998,Delhi Daredevils,Royal Challengers Bangalore,50,2008
Shoaib Malik,335998,Delhi Daredevils,Royal Challengers Bangalore,6,2008
V Kohli,335998,Royal Challengers Bangalore,Delhi Daredevils,1,2008
V Sehwag,335998,Delhi Daredevils,Royal Challengers Bangalore,24,2008
W Jaffer,335998,Royal Challengers Bangalore,Delhi Daredevils,10,2008
AC Gilchrist,335999,Deccan Chargers,Kings XI Punjab,6,2008
D Kalyankrishna,335999,Deccan Chargers,Kings XI Punjab,3,2008
DNT Zoysa,335999,Deccan Chargers,Kings XI Punjab,1,2008
DPMD Jayawardene,335999,Kings XI Punjab,Deccan Chargers,45,2008
HH Gibbs,335999,Deccan Chargers,Kings XI Punjab,7,2008
KC Sangakkara,335999,Kings XI Punjab,Deccan Chargers,3,2008
RG Sharma,335999,Deccan Chargers,Kings XI Punjab,76,2008
RP Singh,335999,Deccan Chargers,Kings XI Punjab,2,2008
RR Sarwan,335999,Kings XI Punjab,Deccan Chargers,15,2008
SB Bangar,335999,Deccan Chargers,Kings XI Punjab,3,2008
SE Marsh,335999,Kings XI Punjab,Deccan Chargers,84,2008
Shahid Afridi,335999,Deccan Chargers,Kings XI Punjab,13,2008
VVS Laxman,335999,Deccan Chargers,Kings XI Punjab,48,2008
Y Venugopal Rao,335999,Deccan Chargers,Kings XI Punjab,1,2008
Yuvraj Singh,335999,Kings XI Punjab,Deccan Chargers,14,2008
AB Agarkar,336000,Kolkata Knight Riders,Rajasthan Royals,20,2008
AB Dinda,336000,Kolkata Knight Riders,Rajasthan Royals,1,2008
BJ Hodge,336000,Kolkata Knight Riders,Rajasthan Royals,1,2008
DB Das,336000,Kolkata Knight Riders,Rajasthan Royals,11,2008
DJ Hussey,336000,Kolkata Knight Riders,Rajasthan Royals,42,2008
GC Smith,336000,Rajasthan Royals,Kolkata Knight Riders,2,2008
I Sharma,336000,Kolkata Knight Riders,Rajasthan Royals,1,2008
LR Shukla,336000,Kolkata Knight Riders,Rajasthan Royals,2,2008
M Kaif,336000,Rajasthan Royals,Kolkata Knight Riders,21,2008
M Rawat,336000,Rajasthan Royals,Kolkata Knight Riders,1,2008
RA Jadeja,336000,Rajasthan Royals,Kolkata Knight Riders,33,2008
SA Asnodkar,336000,Rajasthan Royals,Kolkata Knight Riders,60,2008
SC Ganguly,336000,Kolkata Knight Riders,Rajasthan Royals,51,2008
SK Warne,336000,Rajasthan Royals,Kolkata Knight Riders,7,2008
Salman Butt,336000,Kolkata Knight Riders,Rajasthan Royals,7,2008
Sohail Tanvir,336000,Rajasthan Royals,Kolkata Knight Riders,3,2008
Umar Gul,336000,Kolkata Knight Riders,Rajasthan Royals,2,2008
WP Saha,336000,Kolkata Knight Riders,Rajasthan Royals,1,2008
YK Pathan,336000,Rajasthan Royals,Kolkata Knight Riders,55,2008
AB de Villiers,336001,Delhi Daredevils,Chennai Super Kings,26,2008
G Gambhir,336001,Delhi Daredevils,Chennai Super Kings,50,2008
JA Morkel,336001,Chennai Super Kings,Delhi Daredevils,28,2008
MS Dhoni,336001,Chennai Super Kings,Delhi Daredevils,32,2008
PA Patel,336001,Chennai Super Kings,Delhi Daredevils,21,2008
S Badrinath,336001,Chennai Super Kings,Delhi Daredevils,11,2008
S Dhawan,336001,Delhi Daredevils,Chennai Super Kings,19,2008
S Vidyut,336001,Chennai Super Kings,Delhi Daredevils,54,2008
SK Raina,336001,Chennai Super Kings,Delhi Daredevils,3,2008
SP Fleming,336001,Chennai Super Kings,Delhi Daredevils,13,2008
V Sehwag,336001,Delhi Daredevils,Chennai Super Kings,71,2008
AC Gilchrist,336002,Deccan Chargers,Royal Challengers Bangalore,46,2008
AS Yadav,336002,Deccan Chargers,Royal Challengers Bangalore,8,2008
B Akhil,336002,Royal Challengers Bangalore,Deccan Chargers,27,2008
CL White,336002,Royal Challengers Bangalore,Deccan Chargers,31,2008
DB Ravi Teja,336002,Deccan Chargers,Royal Challengers Bangalore,7,2008
HH Gibbs,336002,Deccan Chargers,Royal Challengers Bangalore,47,2008
JH Kallis,336002,Royal Challengers Bangalore,Deccan Chargers,31,2008
Misbah-ul-Haq,336002,Royal Challengers Bangalore,Deccan Chargers,34,2008
R Dravid,336002,Royal Challengers Bangalore,Deccan Chargers,31,2008
RG Sharma,336002,Deccan Chargers,Royal Challengers Bangalore,17,2008
RP Singh,336002,Deccan Chargers,Royal Challengers Bangalore,1,2008
V Kohli,336002,Royal Challengers Bangalore,Deccan Chargers,9,2008
W Jaffer,336002,Royal Challengers Bangalore,Deccan Chargers,5,2008
Y Venugopal Rao,336002,Deccan Chargers,Royal Challengers Bangalore,26,2008
AB Agarkar,336003,Kolkata Knight Riders,Kings XI Punjab,1,2008
BJ Hodge,336003,Kolkata Knight Riders,Kings XI Punjab,1,2008
DB Das,336003,Kolkata Knight Riders,Kings XI Punjab,5,2008
DJ Hussey,336003,Kolkata Knight Riders,Kings XI Punjab,71,2008
DPMD Jayawardene,336003,Kings XI Punjab,Kolkata Knight Riders,10,2008
IK Pathan,336003,Kings XI Punjab,Kolkata Knight Riders,24,2008
JR Hopes,336003,Kings XI Punjab,Kolkata Knight Riders,18,2008
K Goel,336003,Kings XI Punjab,Kolkata Knight Riders,6,2008
KC Sangakkara,336003,Kings XI Punjab,Kolkata Knight Riders,28,2008
LR Shukla,336003,Kolkata Knight Riders,Kings XI Punjab,7,2008
Mohammad Hafeez,336003,Kolkata Knight Riders,Kings XI Punjab,13,2008
PP Chawla,336003,Kings XI Punjab,Kolkata Knight Riders,21,2008
SC Ganguly,336003,Kolkata Knight Riders,Kings XI Punjab,5,2008
SE Marsh,336003,Kings XI Punjab,Kolkata Knight Riders,40,2008
WP Saha,336003,Kolkata Knight Riders,Kings XI Punjab,59,2008
